69924.98858,128,208,127,209,126,208
69924.98858,128,209,127,208,126,209
69924.98858,128,209,127,208,126,208
69924.98858,128,208,127,209,126,208
69925.02765,128,208,127,208,126,209
69925.02765,127,208,126,208,126,209
69925.02765,127,209,126,209,126,207
69925.02765,127,208,126,208,125,209
69925.02765,127,208,126,209,125,208
69925.03186,127,209,126,209,125,209
69925.03186,127,209,126,207,125,208
69925.03186,127,208,126,209,125,208
69925.03186,127,208,126,208,125,208
69925.03186,127,210,126,210,125,210
69925.50177,127,209,126,208,126,210
69925.50177,127,209,126,209,126,207
69925.50177,127,208,126,208,125,208
69925.50177,127,208,126,208,125,209
69925.50177,127,209,126,210,125,209
69925.67695,127,208,126,207,125,207
69925.67695,127,208,126,208,125,209
69925.67695,127,208,126,209,125,208
69925.67695,127,211,126,210,125,210
69925.67695,127,207,126,206,125,207
69925.69397,127,208,126,209,124,208
69925.69397,127,208,126,208,125,209
69925.69397,127,209,126,209,124,208
69925.69397,127,207,126,208,125,208
69925.69397,127,209,126,208,124,209
69925.69397,127,208,126,209,124,208
69925.69562,127,209,126,208,124,208
69925.69562,127,208,126,208,125,209
69925.69562,127,209,126,209,124,208
69925.69562,127,209,126,208,125,209
69925.69562,127,209,126,210,125,209
69925.69661,127,207,126,207,125,207
69925.69661,127,208,126,208,124,209
69925.69661,127,208,126,209,125,208
69925.69661,127,210,126,209,125,209
69925.69661,127,207,126,207,125,208
69925.69714,127,208,126,209,125,208
69925.69714,127,208,126,208,125,208
69925.69714,127,209,126,208,125,209
69925.69714,127,208,126,209,125,208
69925.69714,127,209,126,208,125,208
69925.69714,127,208,126,208,125,209
69925.69771,127,209,126,209,125,208
69925.69771,127,208,126,208,125,209
69925.69771,127,208,126,208,125,208
69925.69771,127,210,126,209,125,208
69925.69771,127,207,126,208,125,209
69925.69821,127,208,126,209,125,208
69925.69821,127,209,126,208,125,210
69925.69821,127,209,126,208,125,207
69925.69821,127,207,126,209,124,208
69925.69821,127,209,126,208,125,208
69925.6987,127,208,126,208,124,209
69925.6987,127,208,126,209,125,208
69925.6987,127,209,126,208,124,209
69925.6987,127,208,126,208,125,208
69925.6987,127,209,126,209,125,208
69925.6987,127,208,126,208,125,209
69925.69923,127,208,126,208,124,208
69925.69923,127,208,126,209,125,208
69925.69923,127,209,126,208,124,209
69925.69923,127,209,126,209,125,208
69925.69923,127,208,126,208,124,208
